placeLabel	state-full	state	WD-QID	FIPS
Abbeville	Alabama	AL	Q79806	01067
Adamsville	Alabama	AL	Q79989	01073
Addison	Alabama	AL	Q66483	01133
Akron	Alabama	AL	Q66210	01065
Alabaster	Alabama	AL	Q79936	01117
Albertville	Alabama	AL	Q79675	01095
Alexander City	Alabama	AL	Q79663	01123
Aliceville	Alabama	AL	Q79666	01107
Allgood	Alabama	AL	Q68430	01009
Altoona	Alabama	AL	Q444149	01055
Andalusia	Alabama	AL	Q489765	01039
Anniston	Alabama	AL	Q79474	01015
Arab	Alabama	AL	Q79405	01095
Ardmore	Alabama	AL	Q67910	01083
Argo	Alabama	AL	Q67419	01115
Ariton	Alabama	AL	Q66022	01045
Arley	Alabama	AL	Q66730	01133
Ashford	Alabama	AL	Q66528	01069
Ashland	Alabama	AL	Q67796	01027
Ashville	Alabama	AL	Q79396	01115
Athens	Alabama	AL	Q79439	01083
Atmore	Alabama	AL	Q79683	01053
Attalla	Alabama	AL	Q79268	01055
Auburn	Alabama	AL	Q79728	01081
Autaugaville	Alabama	AL	Q67852	01001
Avon	Alabama	AL	Q66690	01069
Babbie	Alabama	AL	Q66058	01039
Baileyton	Alabama	AL	Q67886	01043
Bakerhill	Alabama	AL	Q79605	01005
Banks	Alabama	AL	Q66187	01109
Bay Minette	Alabama	AL	Q79775	01003
Bayou La Batre	Alabama	AL	Q79711	01097
Bayview	Alabama	AL	Q4874986	
Bear Creek	Alabama	AL	Q66397	01093
Beatrice	Alabama	AL	Q66224	01099
Beaverton	Alabama	AL	Q66170	01075
Belk	Alabama	AL	Q66150	01057
Benton	Alabama	AL	Q67269	01085
Berlin	Alabama	AL	Q4892339	01043
Berry	Alabama	AL	Q65961	01057
Bessemer	Alabama	AL	Q79973	01073
Billingsley	Alabama	AL	Q67811	01001
Birmingham	Alabama	AL	Q79867	01073
Black	Alabama	AL	Q66825	01061
Blountsville	Alabama	AL	Q67264	01009
Blue Mountain	Alabama	AL	Q885795	
Blue Springs	Alabama	AL	Q68271	01005
Boaz	Alabama	AL	Q79855	01095
Boligee	Alabama	AL	Q68009	01063
Bon Air	Alabama	AL	Q67661	01121
Brantley	Alabama	AL	Q66351	01041
Brent	Alabama	AL	Q79770	01007
Brewton	Alabama	AL	Q79620	01053
Bridgeport	Alabama	AL	Q79654	01071
Brighton	Alabama	AL	Q80047	01073
Brilliant	Alabama	AL	Q68058	01093
Brookside	Alabama	AL	Q66072	01073
Brookwood	Alabama	AL	Q985677	01125
Brundidge	Alabama	AL	Q79262	01109
Butler	Alabama	AL	Q75183	01023
Calera	Alabama	AL	Q79942	01117
Camden	Alabama	AL	Q79387	01131
