WP-title	state	pageid	path	qid
Advertiser-Gleam	Alabama	57894914	/wiki/Advertiser-Gleam	Q55665274
The Alabama Baptist	Alabama	28544803	/wiki/The_Alabama_Baptist	Q7712959
Alabama Messenger	Alabama			
Alabama Times	Alabama			
Andalusia Star-News	Alabama			
The Anniston Star	Alabama	2860032	/wiki/The_Anniston_Star	Q7713857
Atmore Advance	Alabama	57815704	/wiki/Atmore_Advance	Q55665239
Auburn Villager	Alabama			
Baldwin Times	Alabama	57881983	/wiki/Baldwin_Times	Q55665241
Birmingham Business Journal	Alabama	19464281	/wiki/Birmingham_Business_Journal	Q4916630
The Birmingham News	Alabama	2740395	/wiki/The_Birmingham_News	Q7718111
Birmingham Times	Alabama	64947284	/wiki/Birmingham_Times	Q101504021
Brewton Standard	Alabama			
Call News	Alabama			
Cherokee County Herald	Alabama	57997331	/wiki/Cherokee_County_Herald	Q56290058
Chilton County News	Alabama			
The Citizen of East Alabama	Alabama			
Clanton Advertiser	Alabama			
Clark County Democrat	Alabama			
Cleburne News	Alabama			
Courier Journal (Florence, Alabama)	Alabama			
The Cullman Times	Alabama	8930717	/wiki/The_Cullman_Times	Q7728375
Cullman Tribune	Alabama			
The Daily Home	Alabama	23441651	/wiki/The_Daily_Home	Q7728658
Daily Mountain Eagle	Alabama	23463644	/wiki/Daily_Mountain_Eagle	Q5209310
Scottsboro Daily Sentinel	Alabama			
Daleville Sun-Courier	Alabama	36299146	/wiki/Daleville_Sun-Courier	Q7569391
Daphne-Spanish Fort Bulletin	Alabama			
The Decatur Daily	Alabama	4362559	/wiki/The_Decatur_Daily	Q7729492
The Dekalb Advertiser	Alabama	19746421	/wiki/The_Dekalb_Advertiser	Q7729638
The Democrat-Reporter	Alabama	60015178	/wiki/The_Democrat-Reporter	Q61846474
Demopolis Times	Alabama	57886352	/wiki/Demopolis_Times	Q55665259
Dothan Eagle	Alabama	7200588	/wiki/Dothan_Eagle	Q5299433
Elberta-Lillian Ledger	Alabama			
Enterprise Ledger	Alabama			
Eufaula Tribune	Alabama			
Fairhope Courier	Alabama			
Foley Onlooker	Alabama			
Franklin County Times	Alabama			
The Gadsden Times	Alabama	8159787	/wiki/The_Gadsden_Times	Q7735596
Greenville Advocate	Alabama			
The Huntsville Times	Alabama	10624078	/wiki/The_Huntsville_Times	Q7741121
The Independent (Alabama)	Alabama			
The Islander (Gulf Shores, Alabama)	Alabama			
Jacksonville News	Alabama			
Lagniappe (newspaper)	Alabama	6448138	/wiki/Lagniappe_(newspaper)	Q6472166
Lamar Democrat	Alabama			
Latino News	Alabama			
Lowndes Signal	Alabama			
Luverne Journal	Alabama			
Millbrook Independent	Alabama			
Mobile Beacon &amp; Alabama Citizen	Alabama			
Montgomery Advertiser	Alabama	2339617	/wiki/Montgomery_Advertiser	Q6905642
Montgomery Independent	Alabama			
The News Courier	Alabama	8930838	/wiki/The_News_Courier	Q7753910
The North Jefferson News	Alabama	8925379	/wiki/The_North_Jefferson_News	Q6630625
Northport Gazette	Alabama			
Opelika-Auburn News	Alabama	41751259	/wiki/Opelika-Auburn_News	Q17072806
Opelika Observer	Alabama			
Pickens County Herald	Alabama	57851537	/wiki/Pickens_County_Herald	Q55435878
Piedmont Journal	Alabama			
The Post (Centre, Alabama)	Alabama			
Press-Register	Alabama	1854905	/wiki/Press-Register	Q7241596
St. Clair Times	Alabama			
Sand Mountain Reporter	Alabama	57561517	/wiki/Sand_Mountain_Reporter	Q55642329
Selma Sun	Alabama			
Selma Times-Journal	Alabama	32488593	/wiki/Selma_Times-Journal	Q7448735
Shelby County Reporter	Alabama			
South Alabamian	Alabama			
The Southeast Sun	Alabama	36299146	/wiki/The_Southeast_Sun	Q7569391
The Southern Star (Alabama)	Alabama	2741151	/wiki/The_Southern_Star_(Alabama)	Q7765582
The Sumter Circular (pamphlet)	Alabama			
Sumter County Record-Journal	Alabama			
Talk Of Semmes	Alabama			
Thomasville Times	Alabama	11578216	/wiki/Thomasville_Times	Q7795628
Times-Journal	Alabama	19680585	/wiki/Times-Journal	Q7806506
The Times-Record (Alabama)	Alabama	2556000	/wiki/The_Times-Record_(Alabama)	Q7769380
TimesDaily	Alabama	9129680	/wiki/TimesDaily	Q7806515
Troy Messenger	Alabama			
Trussville Tribune	Alabama			
The Tuscaloosa News	Alabama	17649732	/wiki/The_Tuscaloosa_News	Q3989726
Valley Times-News	Alabama			
Washington County News	Alabama			
The Western Star (Bessemer, Alabama)	Alabama	45321853	/wiki/The_Western_Star_(Bessemer,_Alabama)	Q7774316
Alabama Journal	Alabama	71994024	/wiki/Alabama_Journal	Q115917439
Alabama State Journal	Alabama			
The Alabama Observer	Alabama			
Birmingham Post-Herald	Alabama	2007289	/wiki/Birmingham_Post-Herald	Q4916778
The Hoover Gazette	Alabama	6240580	/wiki/The_Hoover_Gazette	Q7740236
The Meteor	Alabama	2544297	/wiki/The_Meteor	Q7751176
Press-Register	Alabama	1854905	/wiki/Press-Register	Q7241596
The Southern Courier	Alabama	39526180	/wiki/The_Southern_Courier	Q28455147
Times-Journal	Alabama	19680585	/wiki/Times-Journal	Q7806506
The Auburn Plainsman	Alabama	30862802	/wiki/The_Auburn_Plainsman	Q7714872
The Crimson White	Alabama	2505003	/wiki/The_Crimson_White	Q7728099
The Crimson	Alabama	302401	/wiki/The_Crimson	Q3521215
Anchorage Daily News	Alaska	1681798	/wiki/Anchorage_Daily_News	Q489214
Daily Sitka Sentinel	Alaska	6679340	/wiki/Daily_Sitka_Sentinel	Q5209365
Fairbanks Daily News-Miner	Alaska	2918763	/wiki/Fairbanks_Daily_News-Miner	Q5430011
Juneau Empire	Alaska	508152	/wiki/Juneau_Empire	Q6312479
Ketchikan Daily News	Alaska	6729680	/wiki/Ketchikan_Daily_News	Q6395343
Kodiak Daily Mirror	Alaska	3610873	/wiki/Kodiak_Daily_Mirror	Q6425295
Peninsula Clarion	Alaska	8844500	/wiki/Peninsula_Clarion	Q7162921
Alaska Journal of Commerce	Alaska	19873350	/wiki/Alaska_Journal_of_Commerce	Q4708555
Alaska Star	Alaska	2918614	/wiki/Alaska_Star	Q4708607
Anchorage Press	Alaska	2975312	/wiki/Anchorage_Press	Q4752731
Arctic Sounder	Alaska	10120495	/wiki/Arctic_Sounder	Q4708581
Bristol Bay Times	Alaska	10120495	/wiki/Bristol_Bay_Times	Q4708581
Capital City Weekly	Alaska	3656235	/wiki/Capital_City_Weekly	Q5035526
Chilkat Valley News	Alaska	6678258	/wiki/Chilkat_Valley_News	Q5098976
Cordova Times	Alaska	10120495	/wiki/Cordova_Times	Q4708581
The Delta Discovery	Alaska	4899758	/wiki/The_Delta_Discovery	Q7729682
Delta Wind	Alaska			
Dutch Harbor Fisherman	Alaska	10120495	/wiki/Dutch_Harbor_Fisherman	Q4708581
Homer News	Alaska	4899911	/wiki/Homer_News	Q9004606
Mat-Su Valley Frontiersman	Alaska	2918880	/wiki/Mat-Su_Valley_Frontiersman	Q6785803
The Nome Nugget	Alaska	3641677	/wiki/The_Nome_Nugget	Q7754288
Petersburg Pilot	Alaska	105719	/wiki/Petersburg_Pilot	Q80027
Petroleum News	Alaska	3870465	/wiki/Petroleum_News	Q7178948
Seward Journal	Alaska	36392301	/wiki/Seward_Journal	Q7763499
Seward Phoenix Log	Alaska	10120495	/wiki/Seward_Phoenix_Log	Q4708581
Tundra Drums	Alaska	10120495	/wiki/Tundra_Drums	Q4708581
The Valdez Star	Alaska	105697	/wiki/The_Valdez_Star	Q80037
Wrangell Sentinel	Alaska			
The Ester Republic	Alaska	3610364	/wiki/The_Ester_Republic	Q7732536
The Skagway News	Alaska	4899983	/wiki/The_Skagway_News	Q7764591
The Northern Light (college newspaper)	Alaska	10194731	/wiki/The_Northern_Light_(college_newspaper)	Q7754371
Sun Star (Alaska)	Alaska	13736534	/wiki/Sun_Star_(Alaska)	Q7638514
The Whalesong	Alaska	611159	/wiki/The_Whalesong	Q94279
Anchorage Times	Alaska	3597752	/wiki/Anchorage_Times	Q4752737
Insurgent49	Alaska	3610583	/wiki/Insurgent49	Q6042414
Tundra Times	Alaska	35956088	/wiki/Tundra_Times	Q7852905
Homer Tribute	Alaska			
The Scottsdale Herald	Arizona			
Arizona Gazette	Arizona			
